id,pipeline_score,my_score,source,title,reason
1011,85,25,AI blew my mind,How I Automated Trend Research Across 9 Platforms (and Stopped Scrolling for Ideas),
1166,78,25,Loop Engineering,"Anthropic's Claude Code just made SaaS dashboards disposable ; Robinhood Chain is live, but its best product isn't available in the US",
1168,78,25,AI blew my mind,Why Your AI Images Stall at 'Almost Right' (the Fix Isn't a Better Prompt),
1064,77,25,The AI Maker,Building an AI-Assisted Reflection System with Podcasts in Obsidian using /reflect,
1297,95,22,AI Weekender,Hermes + Telegram on $0 VM Part 2,serial newsletter filler
988,88,22,Limited Edition Jonathan,Claude Sonnet 5 Just Dropped. Paste This Prompt to Find Out What It Means for YOU.,
1270,80,22,Cash & Cache,The 3-Layer AI Accuracy Framework (Most People Only Use 1),
1246,91,20,The Ai Rabbit Hole,Why human language is the new code,pure slop
1113,85,20,Aligned News,GPT-5.6 and other AI models update deployment choices and capabilities,
1036,82,20,Machine Learning At Scale,The system behind the $14K monthly discovery engine,
1039,78,20,AI in public,15 Books Every AI Engineer Should Read in 2026,
1013,82,18,Standout Systems by Teodora,Clinical Prompt Template for Asking AI Health Questions,
1024,85,15,Hacker News,The AI Compass Quiz,
1233,85,15,Aligned News,YouCam API Hackathon runs worldwide through August 16,
1124,100,12,Aligned News,NEAR Confidential Intents via 1Click Swap API,crypto not AI; x.com repost
1094,92,12,Aligned News,Build Week event highlights,broken title with leaked JSON; promo tweet
